company,email,name,age,gender,sexual_orientation,marital_status,race,religion,location,address,employment_status,job,pet,phone_number,device_type,interests,height,weight,next_of_kin,mum_maiden_name,employer,past_employer,bank_account,salary,social_profile_friends,social_profile_hobbies,social_profile_interests,birth_country,allergies,health_info,face_recognition,environment_recognition,product_recognition,contacts,voice_recognition,camera_roll,languages
facebook,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0.0,1,1,1,0,0,1,1,1,1,1,1,1,1
instagram,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.0,1,1,1,0,0,1,1,1,1,1,1,1,1
tinder,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,1,0,1,0,1,1
grindr,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.0,1,1,1,0,0,1,1,1,0,1,0,1,1
uber,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0.0,1,1,1,0,0,1,1,0,0,1,0,1,1
tiktok,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,1,1,1,1,1,1
strava,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.0,1,1,1,0,0,1,0,0,0,1,0,1,1
tesco,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,1,0,0,0,0,0,0,1
spotify,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,0,0,1,0,1
myfitnesspal,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,0,1,0,1,0
clubhouse,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,0,1,1,0,1
